Asic,Accounting/Finance,Age-Derived,All-Positions,Arizona State University,Avg. Tenure (before SanDisk),Job Hop,California State University,Computers,Degree Level,Degree Progam Rollup,Design,Director-VP-Mgmt,Engineer Type 1,Engineer Type,Engineer,Firmware,Gender,India,Indian Institute of Technology,Israel,Marketing/Sales,Number of Records,Other 1,Other 2,Other,Position level,Predict2,San Jose State University,SanDisk Position Change (from prior role),SanDisk Position,SanDisk Tenure,Santa Clara University,Software,Stanford University,Systems,Technion - Israel Institute of Technology,Total Experience,Total Other Job Experience,Total Other Jobs,Total SanDisk Jobs,Total SanDisk and Other Jobs,USA,USC,University Region,University of California,University of Illinois,University,Year,Id,Rf
0,0,35,Engineer-Firmware,0,2.42,02-Mar,0,0,Bachelors,Engineering,0,0,Other,Firmware,1,1,Men,0,0,0,0,1,0,1,0,Management,Low,0,Promo,Engineer,7.09,0,0,0,0,0,12,4.83,2,3,5,0,0,APAC,0,0,Other,2012,10553,0.04
0,0,35,Engineer-Firmware,0,4.83,04-May,0,0,Bachelors,Engineering,0,0,Other,Firmware,1,1,Men,0,0,0,0,1,0,1,0,Management,Low,0,Promo,Engineer,7.97,0,0,0,0,0,13,4.83,1,4,5,0,0,APAC,0,0,Other,2013,10553,0.04
0,0,29,Engineer-Other,0,4.51,04-May,0,0,Masters,Other,0,0,Other,Other,1,0,Women,0,0,0,0,1,1,1,0,IC,Medium,0,No Change,Engineer,2.58,0,0,0,0,0,7,4.51,1,1,2,0,0,APAC,0,0,Other,2012,10556,0.35
0,0,29,Engineer-Other,0,0.00,0-1,0,0,Masters,Other,0,0,Other,Other,1,0,Women,0,0,0,0,1,1,1,0,IC,Medium,0,No Change,Engineer,2.96,0,0,0,0,0,7,4.51,0,2,2,0,0,APAC,0,0,Other,2013,10556,0.35
0,0,27,Other,0,0.00,0-1,0,0,Bachelors,Engineering,0,0,Other,Other,0,0,Men,0,0,0,0,1,1,1,1,,Medium,0,No Change,Other,0.75,0,0,0,0,0,1,0.00,0,1,1,0,0,APAC,0,0,Other,2012,10571,0.44
0,0,27,Engineer-Design,0,0.00,0-1,0,0,Bachelors,Engineering,1,0,Other,Design,1,0,Men,0,0,0,0,1,0,1,0,IC,Medium,0,No Change,Engineer,0.75,0,0,0,0,0,1,0.00,0,1,1,0,0,APAC,0,0,Other,2012,10571,0.44
0,0,34,Engineer-Firmware,0,2.58,02-Mar,0,0,Bachelors,Engineering,0,0,India,Firmware,1,1,Men,1,0,0,0,1,0,0,0,IC,Medium,0,No Change,Engineer,0.92,0,0,0,0,0,9,7.75,3,1,4,0,0,India,0,0,Other,2012,10607,0.42
0,0,28,Computers,0,2.00,02-Mar,0,1,Bachelors,Engineering,0,0,USA,Other,0,0,Men,0,0,0,0,1,1,0,0,IC,Medium,1,No Change,IT,4.92,0,0,0,0,0,9,4.00,2,1,3,1,0,Americas,0,0,San Jose State University,2012,10614,0.47
0,0,34,Engineer-Other,0,1.80,01-Feb,1,0,Masters,Computers,0,0,USA,Other,1,0,Men,0,0,0,0,1,1,0,0,IC,Medium,0,No Change,Engineer,5.00,0,0,0,0,0,14,9.01,5,1,6,1,0,Americas,0,0,California State University,2012,10621,0.35
0,0,23,Engineer-Design,0,1.13,01-Feb,0,0,Masters,Other,1,0,USA,Design,1,0,Men,0,0,0,0,1,0,0,0,IC,High,0,No Change,Engineer,0.00,0,0,0,0,0,2,2.25,2,1,2,1,1,Americas,0,0,USC,2012,10643,0.74
