amzn_price-history-1st Jan 2019-30th Nov 2020
Time,Open,High,Low,Last,Volume
01/02/2019,1465.2,1553.36,1460.93,1539.13,7983103
01/03/2019,1520.01,1538,1497.11,1500.28,6975572
01/04/2019,1530,1594,1518.31,1575.39,9182575
01/07/2019,1602.31,1634.56,1589.19,1629.51,7993213
01/08/2019,1664.69,1676.61,1616.61,1656.58,8881428
01/09/2019,1652.98,1667.8,1641.4,1659.42,6348801
01/10/2019,1641.01,1663.25,1621.62,1656.22,6507693
01/11/2019,1640.55,1660.29,1636.22,1640.56,4686222
1/14/2019 ,1615,1648.2,1595.15,1617.21,6005888
1/15/2019 ,1632,1675.16,1626.01,1674.56,5998510
1/16/2019 ,1684.22,1705,1675.88,1683.78,6366864
1/17/2019 ,1680,1700.17,1677.5,1693.22,4208875
1/18/2019 ,1712,1716.2,1691.54,1696.2,6020503
1/22/2019 ,1681,1681.87,1610.2,1632.17,6416796
1/23/2019 ,1656,1657.43,1612,1640.02,5225212
1/24/2019 ,1641.07,1657.26,1631.78,1654.93,4089943
1/25/2019 ,1670.5,1683.48,1661.61,1670.57,4959679
1/28/2019 ,1643.59,1645,1614.09,1637.89,4837711
1/29/2019 ,1631.27,1632.38,1590.72,1593.88,4632782
1/30/2019 ,1623,1676.95,1619.68,1670.43,5783822
1/31/2019 ,1692.85,1736.41,1679.08,1718.73,10910338
2/1/2019,1638.88,1673.06,1622.01,1626.23,11506213
2/4/2019,1623,1649.63,1613.5,1633.31,4929187
2/5/2019,1643.34,1665.26,1642.5,1658.81,4453105
2/6/2019,1670.75,1672.26,1633.34,1640.26,3939883
2/7/2019,1625,1625.54,1592.91,1614.37,4626589
2/8/2019,1586,1588.59,1566.76,1588.22,5657457
2/11/2019,1600.98,1609.29,1586,1591,3317328
2/12/2019,1604,1639.4,1598.88,1638.01,4858604
2/13/2019 ,1647,1656.38,1637.11,1640,3560321
2/14/2019 ,1624.5,1637.9,1606.06,1622.65,4120524
2/15/2019 ,1627.86,1628.91,1604.5,1607.95,4343893
2/19/2019 ,1601,1634,1600.56,1627.58,3681656
2/20/2019 ,1630,1634.93,1610.12,1622.1,3337589
2/21/2019 ,1619.85,1623.56,1600.91,1619.44,3483392
2/22/2019 ,1623.5,1634.94,1621.17,1631.56,3096191
2/25/2019 ,1641.45,1654.6,1630.39,1633,3184462
2/26/2019 ,1625.98,1639.99,1616.13,1636.4,2665815
2/27/2019 ,1628.18,1641.81,1615.1,1641.09,3148824
2/28/2019 ,1635.25,1651.77,1633.83,1639.83,3025891
3/1/2019,1655.13,1674.26,1651,1671.73,4974877
3/4/2019,1685,1709.43,1674.36,1696.17,6167358
3/5/2019,1702.95,1707.8,1689.01,1692.43,3681522
